Product Name,Image,Sub - Category,Potential Supplier,Supplier Model Number,Heyzack Refeance Number,MOQ,SALES PRICE,Price,Order Price,Launchboom,Specification,Features,Communication Protocol,Power Source,Specs-final,Main Catagory 
Video Door Bell Battery powered,,Camera and Doorbell,Omnia,IPB196,,"23,80 €","142,80 €",23.8,,,Wi-Fi connectivity | 2K/1080p live view | PIR motion detection | Events recording and notification | Two-way audio talk | Night vision | Siren alarm | Rechargeable battery | IPX4 weatherproof,"1. Know someone’s at the door before they knock—your phone lights up the instant motion is sensed, so you can finish dinner uninterrupted.
2. Answer the delivery guy from upstairs—tap the app, say “leave it on the bench,” and skip dashing down every time the bell rings.
3. Sleep undisturbed by late-night noise—check crisp night-vision video first, then decide if it’s worth getting out of bed.
4. Scare off porch pirates in one second—hit the built-in siren from your phone and watch them drop your package and run.
5. Install in five minutes with no wires or tools; the rechargeable battery and weather-tight seal keep you covered rain or shine for months on a single charge.",Wifi,Rechargeable battery,Wi-Fi connectivity | 2K/1080p live view | PIR motion detection | Events recording and notification | Two-way audio talk | Night vision | Siren alarm | Rechargeable battery | IPX4 weatherproof,Security
Video door bell (battery),,Camera and Doorbell,Tuya,SC162-WCD3,,"29,50 €","177,00 €",29.5,,Yes,"Video: 2K HD, Resolution 1536*2048 | Lens: 2.5mm fixed lens | FOV: 170° (D) | Features: Support motion/Human/Package Detection | Digital chime (included) & function Setting by APP | Support bluetooth LE + Wi-Fi & Tamper alarm | Battery: Built-in 5200mAh lithium battery | Design: IP65 | Power supply: AC 8-24V","1. Answer the door while finishing dinner—2K HD video shows you every face and package on your phone before you wipe your hands.
2. Know it’s a person, not a shadow—smart alerts filter out wind-blown leaves so your phone only buzzes when someone real is there.
3. Hear the bell anywhere in the house—the included digital chime rings even if you’re in the basement with music on.
4. Skip electrician bills—built-in battery and simple app setup mean no wires to run and no holes to drill this weekend.
5. Rest easy through storms and porch pirates—the weather-sealed body and tamper alarm keep watch when you’re away or asleep.",Wifi & bluetooth,Rechargable Battery,"Video: 2K HD, Resolution 1536*2048 | Lens: 2.5mm fixed lens | FOV: 170° (D) | Features: Support motion/Human/Package Detection | Digital chime (included) & function Setting by APP | Support bluetooth LE + Wi-Fi & Tamper alarm | Battery: Built-in 5200mAh lithium battery | Design: IP65 | Power supply: AC 8-24V",Security
Video Door Bell USB powered (USB-C),,Camera and Doorbell,Omnia,IPB195,,"13,80 €","82,80 €",13.8,,,"Features: 2MP CMOS sensor full HD 1080p live view and video | Wi-Fi connection | IR night vision | Two-way audio | Siren alarm | Human and sound detection | IP65 weatherproof | AC 12-24v hard-wire | Micro SD card slot (local storage optional) | Indoor chime available | Specifications: Image sensor: 2MP CMOS | Lens: 100-Degree fixed focus | Video Size: (1920x1080) | Storage: Micro SD cards up to 128GB for local, cloud storage optional | Wireless Standard: IEEE 802.11 b/g/n, 2.4GHz | Button/Switch: Power switch x1, Reset button x1 | Microphone: Yes,built-in | Speaker: Yes,built-in | Power Source: AC 12-24V hard-wire","1. Know who’s on your porch before you open the door—1080p live video streams straight to your phone, so you never greet a stranger blindly again.
2. Talk to delivery drivers from your kitchen or couch—the built-in mic and speaker let you give instructions without leaving the room.
3. Sleep undisturbed by false alarms—human-only detection ignores passing cars and focuses on people, cutting late-night notifications to almost zero.
4. Keep watch after dark—infrared night vision shows clear faces even at midnight, so darkness doesn’t hide visitors or packages.
5. Install once and forget about batteries—hard-wiring to your existing doorbell power keeps it running 24/7 without climbs up a ladder to recharge.",Wifi,AC Hard wire,"Features: 2MP CMOS sensor full HD 1080p live view and video | Wi-Fi connection | IR night vision | Two-way audio | Siren alarm | Human and sound detection | IP65 weatherproof | AC 12-24v hard-wire | Micro SD card slot (local storage optional) | Indoor chime available | Image sensor: 2MP CMOS | Lens: 100-Degree fixed focus | Video Size: (1920x1080) | Storage: Micro SD cards up to 128GB for local, cloud storage optional | Wireless Standard: IEEE 802.11 b/g/n, 2.4GHz | Button/Switch: Power switch x1, Reset button x1 | Microphone: Yes,built-in | Speaker: Yes,built-in | Power Source: AC 12-24V hard-wire",Security
Camera Indoor (USB-C),,Camera and Doorbell,Omnia,IPC267 ,,"10,56 €","63,36 €",10.56,,Yes,"Live view: 2K/1080p | Connectivity: Wi-Fi (2.4G & 5GHz) | Control: Monitor by app at anytime anywhere | Pan & tilt: 355°, 180° | Features: Privacy protection mode, Human motion/sound detection, Two-way audio talk, Night vision, Local storage","1. Check in on the dog while you're still at the grocery store and know the couch is safe before you even reach checkout.
2. Hear the kids laughing or crying in the playroom without leaving your desk, so naptime and meetings both stay on track.
3. Spin the camera away at bedtime for an instant ""camera-off"" feeling, then spin it back at sunrise—privacy when you want it, protection when you need it.
4. Get a quiet phone alert instead of a full-blown alarm when a person steps into view, so you catch real visitors without jumping at every shadow.
5. Say ""I’ll be right there"" through the camera to let the delivery driver drop the box safely, sparing you a trip downstairs and keeping the doorway clear.",Wifi,USB C,"Live view: 2K/1080p | Connectivity: Wi-Fi (2.4G & 5GHz) | Control: Monitor by app at anytime anywhere | Pan & tilt: 355°, 180° | Features: Privacy protection mode, Human motion/sound detection, Two-way audio talk, Night vision, Local storage",Security
Camera Outdoor wired (Dual-Lens),,Camera and Doorbell,Omnia,T722 / T783 ,,"1 000,00 €","6 000,00 €",,,,"Lenses: Dual 2MP(1080P) | Connectivity: 2.4GHz Wi-Fi | Vision: IR night vision | Control: Pan & tilt monitor by app | Features: Motion tracking, Two-way audio, Siren alarm & Light flash, Human motion & sound detection with push notification, Micro SD card slot | Weatherproof: IP65 | Sensor: 2MP CMOS*2 | Network standard: 2.4GHz Wi-Fi | Focus: 2.8mm & 8mm dual lenses | Video: H.264/H.265 | Night distance: 0-20 Meters | Day/Night: Auto(ICR)Color/B&W, Night vision full-color | Audio Input/Output: Built-in microphone/Speaker | Power Supply: 12V/1A | Operate temperature: -20°C - 50°C","1. Know the moment anyone steps onto your porch with an instant phone alert, so you can answer the door before they knock even if you're upstairs or still at work.
2. See every face and package in sharp detail day or night, thanks to dual lenses and full-color night vision that keep the picture clear up to 60 feet away.
3. Speak to visitors through your phone as naturally as if you're at the door, telling the courier where to hide a box or warning a stranger you're watching.
4. Scare off unwanted guests instantly by tapping the built-in siren and flashing light from bed, sparing you a late-night trip downstairs or a 911 call.
5. Check any angle of your driveway or backyard with a simple swipe, because the camera pans and tilts from the same app you already use for lights and locks—no extra gadgets to learn.",Wifi,AC Hard wire,"Lenses: Dual 2MP(1080P) | Connectivity: 2.4GHz Wi-Fi | Vision: IR night vision | Control: Pan & tilt monitor by app | Features: Motion tracking, Two-way audio, Siren alarm & Light flash, Human motion & sound detection with push notification, Micro SD card slot | Weatherproof: IP65 | Sensor: 2MP CMOS*2 | Network standard: 2.4GHz Wi-Fi | Focus: 2.8mm & 8mm dual lenses | Video: H.264/H.265 | Night distance: 0-20 Meters | Day/Night: Auto(ICR)Color/B&W, Night vision full-color | Audio Input/Output: Built-in microphone/Speaker | Power Supply: 12V/1A | Operate temperature: -20°C - 50°C",Security
Outdoor Camera bulb holder (E27),,Camera and Doorbell,Omnia,T775 (WCM-D2CL),,"12,32 €","73,92 €",$12.32,,Yes,"Wifi smart camera 
1   3MP, 10 meter 2   two-way voice; 
3   infrared night vision, 4   pan 355°，tilt 65°
5  E27 Lamp holer  6   motion tracking
7 support ALEXA and GOOGLE +1.5USD","1. Never wonder who’s on the porch again—check crisp 3 MP live video from your phone while you finish dinner.
2. Tell the delivery driver “leave it behind the planter” through clear two-way voice without opening the door or pausing the baby’s nap.
3. Sleep undisturbed: invisible night vision watches the driveway up to 10 m away, so you wake only if it matters.
4. One twist into any existing outdoor light socket powers camera, light, and Wi-Fi—no drills, no extra holes, no weekend lost to install.
5. The camera automatically follows movement across a full 355° and quietly tracks visitors, pets, or prowlers while you keep doing what you’re doing.",Wifi,Bulb Holder,"Wifi smart camera | 3MP, 10 meter | two-way voice | infrared night vision | pan 355°, tilt 65° | E27 Lamp holder | motion tracking | support ALEXA and GOOGLE +1.5USD",Security
Outdoor Camera with solar in pro kit ,,Camera and Doorbell,Omnia,IPC 216 (WCM-J10-S),,"36,40 €","218,40 €",36.4,,Yes,Sensor: 2MP CMOS | Video: Full 1080p live view and video | Connectivity: 2.4GHz Wi-Fi (4G version optional) | Vision: IR night vision / color night vision | Lens: 100-Degree | Control: Pan & tilt monitor by app | Audio: Two way audio | Detection: Human detection with push notification by app | Power: 6W solar panel & 7800mAh rechargeable battery | Alarm: Siren alarm | Storage: Micro SD card slot (local storage supported) | Weatherproof: IP65,"1. Know who’s on your porch before you open the door, day or night, with a 1080p live view that flips to color even after dark.
2. Skip the ladder and wiring—sunlight keeps the built-in battery topped up, so the camera runs free of outlets or annual service calls.
3. Get an instant phone alert only when a person approaches; no buzz for raccoons or rustling trees, just the news you actually need.
4. Speak to visitors through the app—tell the courier where to hide a package or let a neighbor know you’ll be right down—without leaving the couch.
5. Rain, snow, or summer heat, the sealed IP65 housing keeps recording, storing every clip locally on your own micro-SD card for zero monthly fees.",Wifi,Solar and Usb C,Sensor: 2MP CMOS | Video: Full 1080p live view and video | Connectivity: 2.4GHz Wi-Fi (4G version optional) | Vision: IR night vision / color night vision | Lens: 100-Degree | Control: Pan & tilt monitor by app | Audio: Two way audio | Detection: Human detection with push notification by app | Power: 6W solar panel & 7800mAh rechargeable battery | Alarm: Siren alarm | Storage: Micro SD card slot (local storage supported) | Weatherproof: IP65,Security
"Camera outdoor with Battery, solar and light (not include 6w solar $6) in pro kit ",,Camera and Doorbell,Omnia,IPC209,,"22,80 €","136,80 €",22.8,,Yes,Wi-Fi connectivity | 2K/1080p live view | PIR motion detection | Events recording and notification | Two-way audio talk | IR night vision | Siren alarm | Rechargeable battery | IP65 weatherproof,"1. Know who’s at your door without leaving the couch, thanks to a sharp 2K live view that pops up on your phone the moment the built-in motion sensor notices someone.
2. Talk to the delivery driver like you’re home—even if you’re miles away—using the two-way audio so packages get placed safely inside the porch instead of left in plain sight.
3. Sleep undisturbed; any late-night motion flips on invisible night vision and sends a quiet notification instead of a full-blown wake-the-house alert, so you check only if it matters.
4. Skip monthly fees and ladder climbs; the rechargeable battery powers the camera for months at a time, and topping it up is as easy as plugging in a phone—no tools, no service call.
5. Deter porch pirates in seconds by sounding the built-in siren from your app, turning a would-be thief into a fast retreat while you stay safely inside.",Wifi,Rechargeable battery,Wi-Fi connectivity | 2K/1080p live view | PIR motion detection | Events recording and notification | Two-way audio talk | IR night vision | Siren alarm | Rechargeable battery | IP65 weatherproof,Security
Baby Monitor with display ,,Camera and Doorbell,Omnia,BCM008,,"49,15 €","294,90 €",49.15,,,"7-inch 720P baby monitor features a white design with comprehensive video and audio monitoring capabilities. The WiFi-enabled device provides crystal-clear 2-way audio communication and includes advanced night vision camera technology for 24/7 monitoring. The monitor features a large 7-inch color display with integrated clock display and remote zoom functionality for detailed viewing.
Powered by a robust 6000mAh battery, the system connects via WiFi and includes VOX mode with automatic night vision activation. The portable receiver offers complete volume control, built-in music player, and video recording capability for capturing precious moments. Additional convenience features include indicator lights for system status, integrated night light functionality, and intuitive display controls for seamless operation.","1. Hear every cry, cough, or giggle without leaving your bed thanks to clear two-way talk that lets you soothe them back to sleep from across the house.
2. Check on your baby at 3 a.m. without turning on a single light—the built-in night vision shows a bright, detailed picture while the room stays dark and peaceful.
3. Save nightly trips to the nursery by glancing at the 7-inch display; one look tells you if it’s a real wake-up or just a sleepy whimper, giving you more rest and less worry.
4. Record first smiles, wobbly sits, and bedtime songs straight to the monitor, then replay them anytime you want to relive those tiny moments that grow up too fast.
5. Carry the lightweight receiver from kitchen to couch to patio—6000 mAh of battery keeps the live feed with you so you can finish chores, Netflix, or dinner without being tied to one room.",WiFi,Rechargeable battery,7-inch 720P baby monitor | white design | comprehensive video and audio monitoring capabilities | WiFi-enabled device | crystal-clear 2-way audio communication | advanced night vision camera technology | 24/7 monitoring | large 7-inch color display | integrated clock display | remote zoom functionality | detailed viewing | 6000mAh battery | connects via WiFi | VOX mode | automatic night vision activation | portable receiver | complete volume control | built-in music player | video recording capability | capturing precious moments | indicator lights for system status | integrated night light functionality | intuitive display controls | seamless operation,Smart Devices
Smart Humidity&Temperature sensor with IR,,Smart Sensors ,Tuaon,GS-S09-B-CH125,,"100,00 €","600,00 €",9.75,,Yes,"* Input: DC 5V/1A (Micro USB without adapter)
* Infrared frequency: 38KHz
* Coverage: 360°
* Infrared remote control distance: 10m
* Connection: Wi-Fi 2.4GHz
* Application: Doodle Smart or Smart Life
* Temperature measurement range: 0℃-60℃
[Three-in-one] Infrared remote control + temperature + humidity three functions are integrated together.
You can control these devices remotely with a single tap on your phone's APP.
-- [Infrared remote control] You can use your smartphone to control household appliances, such as set-top boxes,
TV boxes, televisions, air conditioners, fans, DVDS, etc. It is compatible with most brands on the market. See the list
of supported brands in the app for details. In addition, it also has a learning function, which can copy the key function
of the original remote control into the App.
-- [Built-in temperature and humidity sensor and built-in display] With the built-in sensor, you can always know
the temperature and humidity in the room. And do subsequent automation according to their values. For example, turn
on the air conditioner when the temperature is above 26°C, and turn on the humidifier when the humidity is below
50%. (Note: Cannot view history)
-- [Massive infrared code library] Support 4000+ brand, 50000+ cloud infrared code, the cloud continues to update
the supported device library.
【 Voice control 】 By connecting to Amazon Alexa and Google Home, you can control your home appliances by
voice. For example: -Alexa, turn on the TV; -OK Google, set the air conditioning temperature to 25 degrees.
-- [Family sharing function] Share and control with family members
[360° range] Smart devices can be controlled remotely within a 360 degree range of 10 meters in diameter. It is
recommended to place one piece of this product in each room, which is more convenient
-- [Wifi+ Bluetooth dual mode] Connect to the network faster. Connecting to the Internet is twice as fast as using
Wifi alone","1. Walk into a room that’s already the perfect temperature—this sensor tells your AC or heater to adjust before you even feel the difference.
2. Save a few bucks every month by letting it turn the fan or humidifier off the moment the air hits your comfort zone—no more forgetting and running devices all day.
3. Replace the coffee-table pile of remotes with one tap on your phone; it fires up the TV, set-top box, or fan without you hunting for batteries.
4. Ask Alexa to dim the lights or Google to bump the thermostat while you’re folding laundry—hands full, problem solved.
5. Check room conditions from the grocery line so you arrive home to air that feels right, not stuffy or freezing.",Wifi,USB C,"Input: DC 5V/1A (Micro USB without adapter) | Infrared frequency: 38KHz | Coverage: 360° | Infrared remote control distance: 10m | Connection: Wi-Fi 2.4GHz | Application: Doodle Smart or Smart Life | Temperature measurement range: 0℃-60℃ | Three-in-one: Infrared remote control + temperature + humidity three functions are integrated together | You can control these devices remotely with a single tap on your phone's APP | Infrared remote control: You can use your smartphone to control household appliances, such as set-top boxes, TV boxes, televisions, air conditioners, fans, DVDS, etc. It is compatible with most brands on the market. See the list of supported brands in the app for details. In addition, it also has a learning function, which can copy the key function of the original remote control into the App | Built-in temperature and humidity sensor and built-in display: With the built-in sensor, you can always know the temperature and humidity in the room. And do subsequent automation according to their values. For example, turn on the air conditioner when the temperature is above 26°C, and turn on the humidifier when the humidity is below 50%. (Note: Cannot view history) | Massive infrared code library: Support 4000+ brand, 50000+ cloud infrared code, the cloud continues to update the supported device library | Voice control: By connecting to Amazon Alexa and Google Home, you can control your home appliances by voice. For example: -Alexa, turn on the TV; -OK Google, set the air conditioning temperature to 25 degrees | Family sharing function: Share and control with family members | 360° range: Smart devices can be controlled remotely within a 360 degree range of 10 meters in diameter. It is recommended to place one piece of this product in each room, which is more convenient | Wifi+ Bluetooth dual mode: Connect to the network faster. Connecting to the Internet is twice as fast as using Wifi alone",Climate
