Item Name,Sales Description,Selling Price,Is Returnable Item,Status,Brand,Manufacturer,Product Type,Item Type,Sales Account,Unit,SKU,UPC,EAN,ISBN,Part Number,Purchase Description,Purchase Price,Purchase Account,Inventory Account,Inventory Valuation Method,Reorder Level,Preferred Vendor,Opening Stock,Opening Stock Value,Is Receivable Service,Is Combo Product,Package Weight,Package Length,Package Width,Package Height,Weight Unit,Dimension Unit,Tax Name,Tax Type,Tax Percentage,Purchase Tax Name,Purchase Tax Type,Purchase Tax Percentage,Enable Bin Tracking
battery-video-doorbell,Battery Video Doorbell,"<p>Experience advanced video door bell technology with the Battery Video Doorbell. This cutting-edge smart home device delivers professional-grade features for enhanced security and convenience.</p>

<p><strong>Key Features:</strong></p>
<ul>
<li>Wi-Fi connectivity</li>
<li>2K/1080p live view</li>
<li>PIR motion detection</li>
<li>Events recording and notification</li>
<li>Two-way audio talk</li>
<li>Night vision</li>
</ul>

<p>Designed for modern smart homes, this device integrates seamlessly with your existing ecosystem while providing reliable performance and user-friendly operation. Perfect for homeowners seeking advanced security solutions with professional installation support and comprehensive warranty coverage.</p>",HeyZack,Smart Home > Security > Video Door Bell,Video Door Bell,"Smart Home > Video Door Bell, Wi-Fi, Rechargeable battery",False,Title,Default Title,,,,,IPB193,1000,shopify,,deny,manual,,,True,True,,https://drive.google.com/file/d/1JqKpg1tRRNOX0iPE-hzK4prAtPvEAVZM/view?usp=drive_link,,Battery Video Doorbell - Video Door Bell with advanced smart home features,False,Battery Video Doorbell - Smart Video Door Bell | HeyZack,Discover the Battery Video Doorbell - advanced video door bell with smart features. Free shipping & expert support at HeyZack.,,,,IPB193,new,True,,g,,,True,,,True,,,active,"Smart Security, Always Watching Over You",Experience crystal-clear monitoring with intelligent alerts and seamless smart home integration.,"Stay connected and secure with HeyZack's battery video doorbell, featuring advanced technology and user-friendly design.",🔹 Wi-Fi connectivity | 🔹 2K/1080p live view | 🔹 PIR motion detection | 🔹 Events recording and notification | 🔹 Two-way audio talk | 🔹 Night vision,✓ Monitor your home remotely with crystal-clear video ✓ Receive intelligent alerts for relevant activity ✓ Enjoy seamless integration with existing smart home systems ✓ Professional installation support and warranty coverage,**Busy Professionals**: Screen deliveries while at work | **Security-Conscious Families**: Monitor visitors and communicate safely | **Frequent Travelers**: Keep an eye on your property remotely,Wi-Fi connectivity | 2K/1080p live view | PIR motion detection | Events recording and notification | Two-way audio talk | Night vision | Siren alarm | Rechargeable battery | IPX4 weatherproof | Indoor chime (optional),Professional installation recommended. Contact HeyZack support for detailed installation guidance.,Works with major smart home platforms. Requires: Wi-Fi,,Wi-Fi,Rechargeable battery,Automated video door bell features with intelligent detection and instant notifications,"Integrates with security scenes, lighting automation, and smart home routines",,,HZ-SSX-CONACC,https://drive.google.com/file/d/1JqKpg1tRRNOX0iPE-hzK4prAtPvEAVZM/view?usp=drive_link,Sonnette vidéo à batterie,,,,"smart video door bell, battery video doorbell, home security video door bell","best video door bell 2024, smart home video door bell with wi-fi, professional video door bell system",battery-video-doorbell-heyzack
battery-solar-camera,Battery Solar Camera,"<p>Experience advanced camera technology with the Battery Solar Camera. This cutting-edge smart home device delivers professional-grade features for enhanced security and convenience.</p>

<p><strong>Key Features:</strong></p>
<ul>
<li>Wi-Fi connectivity</li>
<li>2K/1080p live view</li>
<li>PIR motion detection</li>
<li>Events recording and notification</li>
<li>Two-way audio talk</li>
<li>IR night vision</li>
</ul>

<p>Designed for modern smart homes, this device integrates seamlessly with your existing ecosystem while providing reliable performance and user-friendly operation. Perfect for homeowners seeking advanced security solutions with professional installation support and comprehensive warranty coverage.</p>",HeyZack,Smart Home > Security > Camera,Camera,"Smart Home > Camera, Wi-Fi, Rechargeable battery",False,Title,Default Title,,,,,IPC210,1000,shopify,,deny,manual,,,True,True,,,,Battery Solar Camera - Camera with advanced smart home features,False,Battery Solar Camera - Smart Camera | HeyZack,Discover the Battery Solar Camera - advanced camera with smart features. Free shipping & expert support at HeyZack.,,,,IPC210,new,True,,g,,,True,,,True,,,active,Professional Surveillance Made Simple,Experience crystal-clear monitoring with intelligent alerts and seamless smart home integration.,"Stay connected and secure with HeyZack's battery solar camera, featuring advanced technology and user-friendly design.",🔹 Wi-Fi connectivity | 🔹 2K/1080p live view | 🔹 PIR motion detection | 🔹 Events recording and notification | 🔹 Two-way audio talk | 🔹 IR night vision,✓ Monitor your home remotely with crystal-clear video ✓ Receive intelligent alerts for relevant activity ✓ Enjoy seamless integration with existing smart home systems ✓ Professional installation support and warranty coverage,**Home Security**: Monitor property perimeter and receive instant alerts | **Family Safety**: Keep an eye on children and elderly family members | **Business Owners**: Protect commercial properties with professional surveillance,Wi-Fi connectivity | 2K/1080p live view | PIR motion detection | Events recording and notification | Two-way audio talk | IR night vision | Siren alarm | Rechargeable battery | IP65 weatherproof,Professional installation recommended. Contact HeyZack support for detailed installation guidance.,Works with major smart home platforms. Requires: Wi-Fi,,Wi-Fi,Rechargeable battery,Automated camera features with intelligent detection and instant notifications,"Integrates with security scenes, lighting automation, and smart home routines",,,HZ-CAM-XXF0C9,,,,,,"smart camera, battery solar camera, home security camera","best camera 2024, smart home camera with wi-fi, professional camera system",battery-solar-camera-heyzack
2k-battery-camera,2K Battery Camera,"<p>Experience advanced camera technology with the 2K Battery Camera. This cutting-edge smart home device delivers professional-grade features for enhanced security and convenience.</p>

<p><strong>Key Features:</strong></p>
<ul>
<li>Video: 2K HD, resolution 2304*1296</li>
<li>Lens: 3.3mm fixed lens</li>
<li>FOV: 120° (D)</li>
<li>Connectivity: Support bluetooth LE+Wi-Fi & Siren alarm</li>
<li>Features: Support spotlight & color night vision</li>
<li>Support human PIR detection & Area settings</li>
</ul>

<p>Designed for modern smart homes, this device integrates seamlessly with your existing ecosystem while providing reliable performance and user-friendly operation. Perfect for homeowners seeking advanced security solutions with professional installation support and comprehensive warranty coverage.</p>",HeyZack,Smart Home > Security > Camera,Camera,"Smart Home > Camera, Wi-Fi, Bluetooth LE, Built-in 5200mAh lithium battery",False,Title,Default Title,,,,,SC155-WQ3,1000,shopify,,deny,manual,24.3,,True,True,,,,2K Battery Camera - Camera with advanced smart home features,False,2K Battery Camera - Smart Camera | HeyZack,Discover the 2K Battery Camera - advanced camera with smart features. Free shipping & expert support at HeyZack.,,,,SC155-WQ3,new,True,,g,,,True,,,True,,,active,Professional Surveillance Made Simple,Experience crystal-clear monitoring with intelligent alerts and seamless smart home integration.,"Stay connected and secure with HeyZack's 2k battery camera, featuring advanced technology and user-friendly design.","🔹 Video: 2K HD, resolution 2304*1296 | 🔹 Lens: 3.3mm fixed lens | 🔹 FOV: 120° (D) | 🔹 Connectivity: Support bluetooth LE+Wi-Fi & Siren alarm | 🔹 Features: Support spotlight & color night vision | 🔹 Support human PIR detection & Area settings",✓ Monitor your home remotely with crystal-clear video ✓ Receive intelligent alerts for relevant activity ✓ Enjoy seamless integration with existing smart home systems ✓ Professional installation support and warranty coverage,**Home Security**: Monitor property perimeter and receive instant alerts | **Family Safety**: Keep an eye on children and elderly family members | **Business Owners**: Protect commercial properties with professional surveillance,"Video: 2K HD, resolution 2304*1296 | Lens: 3.3mm fixed lens | FOV: 120° (D) | Connectivity: Support bluetooth LE+Wi-Fi & Siren alarm | Features: Support spotlight & color night vision | Support human PIR detection & Area settings | Battery: Built-in 5200mAh lithium battery | Design: IP65",Professional installation recommended. Contact HeyZack support for detailed installation guidance.,"Works with major smart home platforms. Requires: Wi-Fi, Bluetooth LE",,"Wi-Fi, Bluetooth LE",Built-in 5200mAh lithium battery,Automated camera features with intelligent detection and instant notifications,"Integrates with security scenes, lighting automation, and smart home routines",1000,,HZ-SSX-CAMINT,,Caméra 2K à batterie,,,,"smart camera, 2k battery camera, home security camera","best camera 2024, smart home camera with wi-fi, bluetooth le, professional camera system",2k-battery-camera-heyzack
cube-camera,Cube camera,"<p>Experience advanced camera technology with the Cube camera. This cutting-edge smart home device delivers professional-grade features for enhanced security and convenience.</p>

<p><strong>Key Features:</strong></p>
<ul>
<li>Image sensor: 1/3""</li>
<li>Display resolution: 2304*1296</li>
<li>Focal length: 4mm</li>
<li>IR distance: 10m</li>
<li>Image compression: H.264/MJPEG</li>
<li>Support 2-way audio</li>
</ul>

<p>Designed for modern smart homes, this device integrates seamlessly with your existing ecosystem while providing reliable performance and user-friendly operation. Perfect for homeowners seeking advanced security solutions with professional installation support and comprehensive warranty coverage.</p>",HeyZack,Smart Home > Security > Camera,Camera,"Smart Home > Camera, Not specified, DC 5V/1A adapter",False,Title,Default Title,,,,,SC106-WL3,1000,shopify,,deny,manual,,,True,True,,,,Cube camera - Camera with advanced smart home features,False,Cube camera - Smart Camera | HeyZack,Discover the Cube camera - advanced camera with smart features. Free shipping & expert support at HeyZack.,,,,SC106-WL3,new,True,,g,,,True,,,True,,,active,Professional Surveillance Made Simple,Experience crystal-clear monitoring with intelligent alerts and seamless smart home integration.,"Stay connected and secure with HeyZack's cube camera, featuring advanced technology and user-friendly design.","🔹 Image sensor: 1/3"" | 🔹 Display resolution: 2304*1296 | 🔹 Focal length: 4mm | 🔹 IR distance: 10m | 🔹 Image compression: H.264/MJPEG | 🔹 Support 2-way audio",✓ Monitor your home remotely with crystal-clear video ✓ Receive intelligent alerts for relevant activity ✓ Enjoy seamless integration with existing smart home systems ✓ Professional installation support and warranty coverage,**Home Security**: Monitor property perimeter and receive instant alerts | **Family Safety**: Keep an eye on children and elderly family members | **Business Owners**: Protect commercial properties with professional surveillance,"Image sensor: 1/3"" | Display resolution: 2304*1296 | Focal length: 4mm | IR distance: 10m | Image compression: H.264/MJPEG | Support 2-way audio | TF card storage: 128GB max | Power adapter: DC 5V/1A",Professional installation recommended. Contact HeyZack support for detailed installation guidance.,Works with major smart home platforms. Requires: Not specified,,Not specified,DC 5V/1A adapter,Automated camera features with intelligent detection and instant notifications,"Integrates with security scenes, lighting automation, and smart home routines",,,HZ-SSX-XXFFF8,,Caméra Cube,,,,"smart camera, cube camera, home security camera","best camera 2024, smart home camera with not specified, professional camera system",cube-camera-heyzack
smart-bird-feeder,Smart Bird Feeder,"<p>Experience advanced pets accessories technology with the Smart Bird Feeder. This cutting-edge smart home device delivers professional-grade features for enhanced security and convenience.</p>

<p><strong>Key Features:</strong></p>
<ul>
<li>Video: 2MP HD, Resolution 1920*1080</li>
<li>Lens: 2.5mm fixed lens</li>
<li>FOV: 144° (D)</li>
<li>Features: Support bird detection & squirrel detection</li>
<li>Support 10000+bird name recognition (not included)</li>
<li>Battery: Built-in 5200mAh battery</li>
</ul>

<p>Designed for modern smart homes, this device integrates seamlessly with your existing ecosystem while providing reliable performance and user-friendly operation. Perfect for homeowners seeking advanced security solutions with professional installation support and comprehensive warranty coverage.</p>",HeyZack,Smart Home > Pets > Accessories,Pets accessories,"Smart Home > Pets accessories, Not specified, Built-in 5200mAh battery, Solar (3W panel)",False,Title,Default Title,,,,,SF254-WC2,1000,shopify,,deny,manual,,,True,True,,,,Smart Bird Feeder - Pets accessories with advanced smart home features,False,Smart Bird Feeder - Smart Pets accessories | HeyZack,Discover the Smart Bird Feeder - advanced pets accessories with smart features. Free shipping & expert support at HeyZack.,,,,SF254-WC2,new,True,,g,,,True,,,True,,,active,Smart Care for Your Beloved Pets,Experience crystal-clear monitoring with intelligent alerts and seamless smart home integration.,"Stay connected and secure with HeyZack's smart bird feeder, featuring advanced technology and user-friendly design.","🔹 Video: 2MP HD, Resolution 1920*1080 | 🔹 Lens: 2.5mm fixed lens | 🔹 FOV: 144° (D) | 🔹 Features: Support bird detection & squirrel detection | 🔹 Support 10000+bird name recognition (not included) | 🔹 Battery: Built-in 5200mAh battery",✓ Monitor your home remotely with crystal-clear video ✓ Receive intelligent alerts for relevant activity ✓ Enjoy seamless integration with existing smart home systems ✓ Professional installation support and warranty coverage,**Pet Owners**: Monitor and interact with pets remotely | **Busy Professionals**: Ensure pet safety during work hours | **Animal Lovers**: Capture and share precious pet moments,"Video: 2MP HD, Resolution 1920*1080 | Lens: 2.5mm fixed lens | FOV: 144° (D) | Features: Support bird detection & squirrel detection | Support 10000+bird name recognition (not included) | Battery: Built-in 5200mAh battery | Design: IP65 | Solar: Built-in 3w solar panel | Bird Cage: Wood (red cedar) | Storage: 3L capacity for bird food",Professional installation recommended. Contact HeyZack support for detailed installation guidance.,Works with major smart home platforms. Requires: Not specified,,Not specified,"Built-in 5200mAh battery, Solar (3W panel)",Automated pets accessories features with intelligent detection and instant notifications,"Integrates with security scenes, lighting automation, and smart home routines",,,HZ-PET-XX7386,,,,,,"smart pets accessories, smart bird feeder, home security pets accessories","best pets accessories 2024, smart home pets accessories with not specified, professional pets accessories system",smart-bird-feeder-heyzack
2k-video-doorbell,2K Video Doorbell,"<p>Experience advanced video door bell technology with the 2K Video Doorbell. This cutting-edge smart home device delivers professional-grade features for enhanced security and convenience.</p>

<p><strong>Key Features:</strong></p>
<ul>
<li>Video: 2K HD, Resolution 1536*2048</li>
<li>Lens: 2.5mm fixed lens</li>
<li>FOV: 170° (D)</li>
<li>Features: Support motion/Human/Package Detection</li>
<li>Digital chime (included) & function Setting by APP</li>
<li>Support bluetooth LE + Wi-Fi & Tamper alarm</li>
</ul>

<p>Designed for modern smart homes, this device integrates seamlessly with your existing ecosystem while providing reliable performance and user-friendly operation. Perfect for homeowners seeking advanced security solutions with professional installation support and comprehensive warranty coverage.</p>",HeyZack,Smart Home > Security > Video Door Bell,Video Door Bell,"Smart Home > Video Door Bell, Wi-Fi, Bluetooth LE, Built-in 5200mAh lithium battery, AC 8-24V",False,Title,Default Title,,,,,SC162-WCD3,1000,shopify,,deny,manual,29.5,,True,True,,,,2K Video Doorbell - Video Door Bell with advanced smart home features,False,2K Video Doorbell - Smart Video Door Bell | HeyZack,Discover the 2K Video Doorbell - advanced video door bell with smart features. Free shipping & expert support at HeyZack.,,,,SC162-WCD3,new,True,,g,,,True,,,True,,,active,"Smart Security, Always Watching Over You",Experience crystal-clear monitoring with intelligent alerts and seamless smart home integration.,"Stay connected and secure with HeyZack's 2k video doorbell, featuring advanced technology and user-friendly design.","🔹 Video: 2K HD, Resolution 1536*2048 | 🔹 Lens: 2.5mm fixed lens | 🔹 FOV: 170° (D) | 🔹 Features: Support motion/Human/Package Detection | 🔹 Digital chime (included) & function Setting by APP | 🔹 Support bluetooth LE + Wi-Fi & Tamper alarm",✓ Monitor your home remotely with crystal-clear video ✓ Receive intelligent alerts for relevant activity ✓ Enjoy seamless integration with existing smart home systems ✓ Professional installation support and warranty coverage,**Busy Professionals**: Screen deliveries while at work | **Security-Conscious Families**: Monitor visitors and communicate safely | **Frequent Travelers**: Keep an eye on your property remotely,"Video: 2K HD, Resolution 1536*2048 | Lens: 2.5mm fixed lens | FOV: 170° (D) | Features: Support motion/Human/Package Detection | Digital chime (included) & function Setting by APP | Support bluetooth LE + Wi-Fi & Tamper alarm | Battery: Built-in 5200mAh lithium battery | Design: IP65 | Power supply: AC 8-24V",Professional installation recommended. Contact HeyZack support for detailed installation guidance.,"Works with major smart home platforms. Requires: Wi-Fi, Bluetooth LE",,"Wi-Fi, Bluetooth LE","Built-in 5200mAh lithium battery, AC 8-24V",Automated video door bell features with intelligent detection and instant notifications,"Integrates with security scenes, lighting automation, and smart home routines",1000,,HZ-VDB-XXC5EC,,,,,,"smart video door bell, 2k video doorbell, home security video door bell","best video door bell 2024, smart home video door bell with wi-fi, bluetooth le, professional video door bell system",2k-video-doorbell-heyzack
battery-solar-spotlight-camera,Battery Solar Spotlight Camera,"<p>Experience advanced camera technology with the Battery Solar Spotlight Camera. This cutting-edge smart home device delivers professional-grade features for enhanced security and convenience.</p>

<p><strong>Key Features:</strong></p>
<ul>
<li>Connectivity: Wi-Fi</li>
<li>Live View: 2K/1080p</li>
<li>Detection: PIR motion detection</li>
<li>Recording: Events recording and notification</li>
<li>Audio: Two-way audio talk</li>
<li>Vision: IR night vision & Color night vision</li>
</ul>

<p>Designed for modern smart homes, this device integrates seamlessly with your existing ecosystem while providing reliable performance and user-friendly operation. Perfect for homeowners seeking advanced security solutions with professional installation support and comprehensive warranty coverage.</p>",HeyZack,Smart Home > Security > Camera,Camera,"Smart Home > Camera, Wi-Fi 802.11 b/g/n (2.4GHz), Built-in rechargeable lithium battery, Solar power recharger",False,Title,Default Title,,,,,IPC176,1000,shopify,,deny,manual,28.5,,True,True,,https://drive.google.com/file/d/1qAg2bJNN61L5r3yzmDSTUKJJlKpXQB6M/view?usp=drive_link,,Battery Solar Spotlight Camera - Camera with advanced smart home features,False,Battery Solar Spotlight Camera - Smart Camera | HeyZack,Discover the Battery Solar Spotlight Camera - advanced camera with smart features. Free shipping & expert support at HeyZack.,,,,IPC176,new,True,,g,,,True,,,True,,,active,Professional Surveillance Made Simple,Experience crystal-clear monitoring with intelligent alerts and seamless smart home integration.,"Stay connected and secure with HeyZack's battery solar spotlight camera, featuring advanced technology and user-friendly design.",🔹 Connectivity: Wi-Fi | 🔹 Live View: 2K/1080p | 🔹 Detection: PIR motion detection | 🔹 Recording: Events recording and notification | 🔹 Audio: Two-way audio talk | 🔹 Vision: IR night vision & Color night vision,✓ Monitor your home remotely with crystal-clear video ✓ Receive intelligent alerts for relevant activity ✓ Enjoy seamless integration with existing smart home systems ✓ Professional installation support and warranty coverage,**Home Security**: Monitor property perimeter and receive instant alerts | **Family Safety**: Keep an eye on children and elderly family members | **Business Owners**: Protect commercial properties with professional surveillance,"Connectivity: Wi-Fi | Live View: 2K/1080p | Detection: PIR motion detection | Recording: Events recording and notification | Audio: Two-way audio talk | Vision: IR night vision & Color night vision | Alarm: Siren & light alarm | Battery: Rechargeable battery | Weatherproof: IP65 | Image sensor: 2.0MP CMOS (3.0MP optional) | Lens: 100-Degree fixed focus | Video Size: 2304x1296, 1920x1080 | PIR Sensor: Effective distance max 5 meters, Detecting angle 90° | Storage: Micro SD cards up to 128GB for local, cloud storage optional | Wireless Standard: IEEE 802.11 b/g/n, 2.4GHz | Button/Switch: Power switch x1, Reset button x1 | Microphone&Speaker: Yes, built-in | Power Source: Built-in rechargeable lithium battery, Solar power recharger | Dimension: Camera: 90x63x83mm",Professional installation recommended. Contact HeyZack support for detailed installation guidance.,Works with major smart home platforms. Requires: Wi-Fi 802.11 b/g/n (2.4GHz),,Wi-Fi 802.11 b/g/n (2.4GHz),"Built-in rechargeable lithium battery, Solar power recharger",Automated camera features with intelligent detection and instant notifications,"Integrates with security scenes, lighting automation, and smart home routines",1000,,HZ-SSX-CAMEX0,https://drive.google.com/file/d/1qAg2bJNN61L5r3yzmDSTUKJJlKpXQB6M/view?usp=drive_link,Caméra projecteur à batterie solaire,,,,"smart camera, battery solar spotlight camera, home security camera","best camera 2024, smart home camera with wi-fi 802.11 b/g/n (2.4ghz), professional camera system",battery-solar-spotlight-camera-heyzack
baby-monitor,Baby Monitor,"<p>Experience advanced baby monitor technology with the Baby Monitor. This cutting-edge smart home device delivers professional-grade features for enhanced security and convenience.</p>

<p><strong>Key Features:</strong></p>
<ul>
<li>Live view: 2K/1080p</li>
<li>Connectivity: Wi-Fi</li>
<li>Display: 2.4""IPS screen with two-way video</li>
<li>Vision: IR night vision</li>
<li>Pan/Tilt: Horizontal 355° monitor by App</li>
<li>Features: Night lamp</li>
</ul>

<p>Designed for modern smart homes, this device integrates seamlessly with your existing ecosystem while providing reliable performance and user-friendly operation. Perfect for homeowners seeking advanced security solutions with professional installation support and comprehensive warranty coverage.</p>",HeyZack,Smart Home > Monitoring > Baby Monitor,Baby Monitor,"Smart Home > Baby Monitor, Wi-Fi, USB Type-C",False,Title,Default Title,,,,,IPC180 V2,1000,shopify,,deny,manual,,,True,True,,,,Baby Monitor - Baby Monitor with advanced smart home features,False,Baby Monitor - Smart Baby Monitor | HeyZack,Discover the Baby Monitor - advanced baby monitor with smart features. Free shipping & expert support at HeyZack.,,,,IPC180 V2,new,True,,g,,,True,,,True,,,active,"Peace of Mind, Day and Night",Experience crystal-clear monitoring with intelligent alerts and seamless smart home integration.,"Stay connected and secure with HeyZack's baby monitor, featuring advanced technology and user-friendly design.","🔹 Live view: 2K/1080p | 🔹 Connectivity: Wi-Fi | 🔹 Display: 2.4""IPS screen with two-way video | 🔹 Vision: IR night vision | 🔹 Pan/Tilt: Horizontal 355° monitor by App | 🔹 Features: Night lamp",✓ Monitor your home remotely with crystal-clear video ✓ Receive intelligent alerts for relevant activity ✓ Enjoy seamless integration with existing smart home systems ✓ Professional installation support and warranty coverage,**New Parents**: Monitor sleeping babies with crystal-clear video | **Working Parents**: Stay connected during work hours | **Caregivers**: Ensure child safety with real-time alerts,"Live view: 2K/1080p | Connectivity: Wi-Fi | Display: 2.4""IPS screen with two-way video | Vision: IR night vision | Pan/Tilt: Horizontal 355° monitor by App | Features: Night lamp | Temperature detector and alert | One-press to call-out | Viewing angle: 100-degree | Smart clock | Siren alarm | Charging: Type-C | Local storage",Professional installation recommended. Contact HeyZack support for detailed installation guidance.,Works with major smart home platforms. Requires: Wi-Fi,,Wi-Fi,USB Type-C,Automated baby monitor features with intelligent detection and instant notifications,"Integrates with security scenes, lighting automation, and smart home routines",,,HZ-BMN-XX3DB9,,,,,,"smart baby monitor, baby monitor, home security baby monitor","best baby monitor 2024, smart home baby monitor with wi-fi, professional baby monitor system",baby-monitor-heyzack
indoor-rotatable-camera,Indoor Rotatable Camera,"<p>Experience advanced camera technology with the Indoor Rotatable Camera. This cutting-edge smart home device delivers professional-grade features for enhanced security and convenience.</p>

<p><strong>Key Features:</strong></p>
<ul>
<li>Live view: 2K/1080p</li>
<li>Connectivity: Wi-Fi (2.4G & 5GHz)</li>
<li>Control: Monitor by app at anytime anywhere</li>
<li>Pan & tilt: 355°, 180°</li>
<li>Features: Privacy protection mode, Human motion/sound detection, Two-way audio talk, Night vision, Local storage</li>
</ul>

<p>Designed for modern smart homes, this device integrates seamlessly with your existing ecosystem while providing reliable performance and user-friendly operation. Perfect for homeowners seeking advanced security solutions with professional installation support and comprehensive warranty coverage.</p>",HeyZack,Smart Home > Security > Camera,Camera,"Smart Home > Camera, Wi-Fi (2.4G & 5GHz), Not specified",False,Title,Default Title,,,,,IPC286,1000,shopify,,deny,manual,2.0,,True,True,,,,Indoor Rotatable Camera - Camera with advanced smart home features,False,Indoor Rotatable Camera - Smart Camera | HeyZack,Discover the Indoor Rotatable Camera - advanced camera with smart features. Free shipping & expert support at HeyZack.,,,,IPC286,new,True,,g,,,True,,,True,,,active,Professional Surveillance Made Simple,Experience crystal-clear monitoring with intelligent alerts and seamless smart home integration.,"Stay connected and secure with HeyZack's indoor rotatable camera, featuring advanced technology and user-friendly design.","🔹 Live view: 2K/1080p | 🔹 Connectivity: Wi-Fi (2.4G & 5GHz) | 🔹 Control: Monitor by app at anytime anywhere | 🔹 Pan & tilt: 355°, 180° | 🔹 Features: Privacy protection mode, Human motion/sound detection, Two-way audio talk, Night vision, Local storage",✓ Monitor your home remotely with crystal-clear video ✓ Receive intelligent alerts for relevant activity ✓ Enjoy seamless integration with existing smart home systems ✓ Professional installation support and warranty coverage,**Home Security**: Monitor property perimeter and receive instant alerts | **Family Safety**: Keep an eye on children and elderly family members | **Business Owners**: Protect commercial properties with professional surveillance,"Live view: 2K/1080p | Connectivity: Wi-Fi (2.4G & 5GHz) | Control: Monitor by app at anytime anywhere | Pan & tilt: 355°, 180° | Features: Privacy protection mode, Human motion/sound detection, Two-way audio talk, Night vision, Local storage",Professional installation recommended. Contact HeyZack support for detailed installation guidance.,Works with major smart home platforms. Requires: Wi-Fi (2.4G & 5GHz),,Wi-Fi (2.4G & 5GHz),Not specified,Automated camera features with intelligent detection and instant notifications,"Integrates with security scenes, lighting automation, and smart home routines",1000,,HZ-CAM-XXA5E1,,,,,,"smart camera, indoor rotatable camera, home security camera","best camera 2024, smart home camera with wi-fi (2.4g & 5ghz), professional camera system",indoor-rotatable-camera-heyzack
indoor-rotatable-camera-1273,Indoor Rotatable Camera,"<p>Experience advanced camera technology with the Indoor Rotatable Camera. This cutting-edge smart home device delivers professional-grade features for enhanced security and convenience.</p>

<p><strong>Key Features:</strong></p>
<ul>
<li>Live view: 2K/1080p</li>
<li>Connectivity: Wi-Fi (2.4G & 5GHz)</li>
<li>Control: Monitor by app at anytime anywhere</li>
<li>Pan & tilt: 355°, 180°</li>
<li>Features: Privacy protection mode, Human motion/sound detection, Two-way audio talk, Night vision, Local storage</li>
</ul>

<p>Designed for modern smart homes, this device integrates seamlessly with your existing ecosystem while providing reliable performance and user-friendly operation. Perfect for homeowners seeking advanced security solutions with professional installation support and comprehensive warranty coverage.</p>",HeyZack,Smart Home > Security > Camera,Camera,"Smart Home > Camera, Not specified, Not specified",False,Title,Default Title,,,,,IPC267,1000,shopify,,deny,manual,,,True,True,,,,Indoor Rotatable Camera - Camera with advanced smart home features,False,Indoor Rotatable Camera - Smart Camera | HeyZack,Discover the Indoor Rotatable Camera - advanced camera with smart features. Free shipping & expert support at HeyZack.,,,,IPC267,new,True,,g,,,True,,,True,,,active,Professional Surveillance Made Simple,Experience crystal-clear monitoring with intelligent alerts and seamless smart home integration.,"Stay connected and secure with HeyZack's indoor rotatable camera, featuring advanced technology and user-friendly design.","🔹 Live view: 2K/1080p | 🔹 Connectivity: Wi-Fi (2.4G & 5GHz) | 🔹 Control: Monitor by app at anytime anywhere | 🔹 Pan & tilt: 355°, 180° | 🔹 Features: Privacy protection mode, Human motion/sound detection, Two-way audio talk, Night vision, Local storage",✓ Monitor your home remotely with crystal-clear video ✓ Receive intelligent alerts for relevant activity ✓ Enjoy seamless integration with existing smart home systems ✓ Professional installation support and warranty coverage,**Home Security**: Monitor property perimeter and receive instant alerts | **Family Safety**: Keep an eye on children and elderly family members | **Business Owners**: Protect commercial properties with professional surveillance,"Live view: 2K/1080p | Connectivity: Wi-Fi (2.4G & 5GHz) | Control: Monitor by app at anytime anywhere | Pan & tilt: 355°, 180° | Features: Privacy protection mode, Human motion/sound detection, Two-way audio talk, Night vision, Local storage",Professional installation recommended. Contact HeyZack support for detailed installation guidance.,Works with major smart home platforms. Requires: Not specified,,Not specified,Not specified,Automated camera features with intelligent detection and instant notifications,"Integrates with security scenes, lighting automation, and smart home routines",,,HZ-CAM-XX4FDA,,,,,,"smart camera, indoor rotatable camera, home security camera","best camera 2024, smart home camera with not specified, professional camera system",indoor-rotatable-camera-1273-heyzack
