Supplier,Model Number,Product Name,Category,Specifications,Communitcation protocol,Power Source,Country,Image,Price,MOQ,Catalogue,Packing,Status,DESIGNATION FR,REF HEYZACK,Drive Link,Lead Time
TUYA,IPB215,Dual-Cam Video Doorbell,Video Door Bell,"Features: Dual 1080p live view and video | Wi-Fi connection | IR night vision | Two-way audio | Siren alarm | Human detection | IP54 waterproof | Micro SD card slot (max.256GB) | Rechargeable battery | Indoor chime available | Specifications: Image sensor: 2MP CMOS*2 | Lens: 100-Degree*2 fixed focus | Video Size: (1920x1080)*2 | Storage: Micro SD cards up to 128GB for local, cloud storage optional | Wireless Standard: IEEE 802.11 b/g/n, 2.4GHz | Button/Switch: Power switch x1, Reset button x1 | Microphone: Yes,built-in | Speaker: Yes, built-in | Power Source: Built-in Rechargeable Battery",Wi-Fi 802.11 b/g/n (2.4GHz),Built-in Rechargeable Battery,,,,,,,Not selected,,,,
OMNIA,IPB195,AC Hard-wire Video Doorbel,Video Door Bell,"Features: 2MP CMOS sensor full HD 1080p live view and video | Wi-Fi connection | IR night vision | Two-way audio | Siren alarm | Human and sound detection | IP65 weatherproof | AC 12-24v hard-wire | Micro SD card slot (local storage optional) | Indoor chime available | Specifications: Image sensor: 2MP CMOS | Lens: 100-Degree fixed focus | Video Size: (1920x1080) | Storage: Micro SD cards up to 128GB for local, cloud storage optional | Wireless Standard: IEEE 802.11 b/g/n, 2.4GHz | Button/Switch: Power switch x1, Reset button x1 | Microphone: Yes,built-in | Speaker: Yes,built-in | Power Source: AC 12-24V hard-wire",Wi-Fi 802.11 b/g/n (2.4GHz),AC 12-24V hardwired,,,"US$13.80






",1000,,,Not selected,Sonnette vidéo câblée AC,HZ-SS-CONACC01,https://smart-home-product-images.s3.us-east-1.amazonaws.com/product-images/1JqKpg1tRRNOX0iPE-hzK4prAtPvEAVZM.jpg,
OMNIA,IPB196,Battery Video Doorbell,Video Door Bell,Wi-Fi connectivity | 2K/1080p live view | PIR motion detection | Events recording and notification | Two-way audio talk | Night vision | Siren alarm | Rechargeable battery | IPX4 weatherproof,Wi-Fi,Rechargeable battery,,,"2MP: US$21.6 / 3MP:US$ 23.8


",1000,,,Not selected,,,,
OMNIA,IPB192,Battery Video Doorbell,Video Door Bell,Wi-Fi connectivity | 2K/1080p live view | PIR motion detection | Events recording and notification | Two-way audio talk | Night vision | Siren alarm | Rechargeable battery | IPX4 weatherproof,Wi-Fi,Rechargeable battery,,,,,,,Not selected,,,,
OMNIA,IPB193,Battery Video Doorbell,Video Door Bell,Wi-Fi connectivity | 2K/1080p live view | PIR motion detection | Events recording and notification | Two-way audio talk | Night vision | Siren alarm | Rechargeable battery | IPX4 weatherproof | Indoor chime (optional),Wi-Fi,Rechargeable battery,,,,,,,To be ordered,Sonnette vidéo à batterie,HZ-SS-CONACC02,,
OMNIA,IPB192,Doorbell Camera,Video Door Bell,2.4GHz Wi-Fi+ BT connection | Video talk with visitor (when someone ring the bell) | Built-in rechargeable battery | Indoor chime | Two-way audio | IR night vision,"Wi-Fi (2.4GHz), Bluetooth",Built-in rechargeable battery,,,,,,,Not selected,,,,
OMNIA,IPC197,Battery Solar Camera,Camera,Wi-Fi connectivity | 2K/1080p live view | PIR motion detection | Events recording and notification | Two-way audio talk | IR night vision | Siren alarm | Rechargeable battery | Magnetic bracket | IP65 weatherproof,Wi-Fi,Rechargeable battery,,,"2MP: US$ 27.5 / 3MP: US$ 28.9


",1000,,,Not selected,Caméra solaire à batterie,HZ-SS-CAMEX02,,
OMNIA,IPC210,Battery Solar Camera,Camera,Wi-Fi connectivity | 2K/1080p live view | PIR motion detection | Events recording and notification | Two-way audio talk | IR night vision | Siren alarm | Rechargeable battery | IP65 weatherproof,Wi-Fi,Rechargeable battery,,,,,,,To be ordered,,,https://smart-home-product-images.s3.us-east-1.amazonaws.com/product-images/1sh2o2bjmKu8tGprmZjsWvcNffRqMrYyA.jpg,
OMNIA,IPC209,Battery Solar Camera,Camera,Wi-Fi connectivity | 2K/1080p live view | PIR motion detection | Events recording and notification | Two-way audio talk | IR night vision | Siren alarm | Rechargeable battery | IP65 weatherproof,Wi-Fi,Rechargeable battery,,,"2MP: US$ 21.6 / 3MP: US$ 22.8


",1000,,,Not selected,,,,
TUYA,SC106-WL3,Cube camera,Camera,"Image sensor: 1/3"" | Display resolution: 2304*1296 | Focal length: 4mm | IR distance: 10m | Image compression: H.264/MJPEG | Support 2-way audio | TF card storage: 128GB max | Power adapter: DC 5V/1A",Not specified,DC 5V/1A adapter,,,,,,,To be ordered,Caméra Cube,HZ-SS-CAMINT02,https://smart-home-product-images.s3.us-east-1.amazonaws.com/product-images/1LRJ4gfEo1xAFEth_8xKOwkXFB5gvisQH.jpg,
TUYA,SC116-WZ4,P&T camera,Camera,"Image sensor: 1/3"" | Display resolution: 1920*1080/2560*1440 | Focal length: 4mm | IR distance: 10m | Image compression: H.264/MJPEG | Support 2-way audio | TF card storage: 128GB max | Power adapter: DC 5V/1A",Not specified,DC 5V/1A adapter,,,,,,,Not selected,,,,
TUYA,SC155-WQ3,2K Battery Camera,Camera,"Video: 2K HD, resolution 2304*1296 | Lens: 3.3mm fixed lens | FOV: 120° (D) | Connectivity: Support bluetooth LE+Wi-Fi & Siren alarm | Features: Support spotlight & color night vision | Support human PIR detection & Area settings | Battery: Built-in 5200mAh lithium battery | Design: IP65","Wi-Fi, Bluetooth LE",Built-in 5200mAh lithium battery,,,With Solar: 24.3 | Without Solar: 21,1000,,,To be ordered,Caméra 2K à batterie,HZ-SS-CAMINT01,,
TUYA,SC316-WBA2,P&T Camera with Screen,Baby Monitor,Video: 2MP HD video | Lens: 2.8mm fixed lens | Screen: 2.8 inch | Features: Support night vision | Support two-way video call | Support AI human/sound detection | Support smart tracking,Not specified,Not specified,,,,,,,Not selected,,,,
TUYA,SF254-WC2,Smart Bird Feeder,Pets accessories,"Video: 2MP HD, Resolution 1920*1080 | Lens: 2.5mm fixed lens | FOV: 144° (D) | Features: Support bird detection & squirrel detection | Support 10000+bird name recognition (not included) | Battery: Built-in 5200mAh battery | Design: IP65 | Solar: Built-in 3w solar panel | Bird Cage: Wood (red cedar) | Storage: 3L capacity for bird food",Not specified,"Built-in 5200mAh battery, Solar (3W panel)",,,,,,,To be ordered,,,https://smart-home-product-images.s3.us-east-1.amazonaws.com/product-images/1Rx4vnJJiR5E2cHQPvzHHktKWkWAWy3Ik.jpg,
